,about_pages,age,complete,good,home,member_since,num_pos_list,num_refs_list,profile_len,sex
74,https://www.couchsurfing.com/people/sakari,['32'],['100'],1.0,Finland,['2008'],['14'],['26'],1731,Male
75,https://www.couchsurfing.com/people/kogoshch,['27'],['100'],1.0,Ukraine,['2010'],['3'],['3'],2635,Male
76,https://www.couchsurfing.com/people/edoardotozzi,['25'],['95'],1.0,listed,['2013'],['2'],['2'],634,Male
77,https://www.couchsurfing.com/people/aussiescott,['35'],['75'],1.0,Australia,['2009'],['2'],['3'],501,Male
78,https://www.couchsurfing.com/people/vinterdrom,['33'],['100'],1.0,Finland),['2008'],['8'],['23'],2402,Female
79,https://www.couchsurfing.com/people/francois-travais,['26'],['95'],1.0,listed,['2015'],flag,['3'],1296,Male
80,https://www.couchsurfing.com/people/taneliikonen,['24'],['100'],1.0,Finland,['2014'],['5'],['7'],1051,Male
81,https://www.couchsurfing.com/people/dumiac,['29'],['100'],1.0,listed,['2012'],flag,['6'],2059,Male
82,https://www.couchsurfing.com/users/2000508383,['25'],['100'],1.0,listed,['2015'],flag,['2'],1586,Male
83,https://www.couchsurfing.com/people/chiccolo,['38'],['95'],1.0,listed,['2005'],['31'],['77'],2534,Male
84,https://www.couchsurfing.com/people/henri-blom,['31'],['95'],1.0,listed,['2014'],flag,['6'],901,Male
85,https://www.couchsurfing.com/people/kwakugeorge,['35'],['65'],1.0,Ghana,['2010'],['1'],['1'],667,Male
86,https://www.couchsurfing.com/people/petterpan,['38'],['100'],1.0,Helsinki,['2009'],flag,['13'],2106,Male
87,https://www.couchsurfing.com/people/enologi,['51'],['95'],1.0,listed,['2011'],flag,['17'],3627,Male
88,https://www.couchsurfing.com/people/sippoin,['29'],['100'],1.0,Finland,['2010'],['5'],['6'],2971,Male
89,https://www.couchsurfing.com/people/joni,['37'],['100'],1.0,Finland,['2005'],flag,['26'],3891,Male
90,https://www.couchsurfing.com/people/roope.lemmetti,['28'],['100'],1.0,Finland,['2012'],['5'],['6'],560,Male
91,https://www.couchsurfing.com/people/teemu.honkanen,['33'],['95'],1.0,Helsinki,['2012'],flag,['32'],1841,Male
92,https://www.couchsurfing.com/people/immu,['39'],['100'],1.0,Finland,['2007'],['3'],['9'],2040,Male
93,https://www.couchsurfing.com/people/timeisatraveller,['31'],['90'],1.0,Tampere,['2009'],['14'],['18'],1161,Female
94,https://www.couchsurfing.com/people/larmeri,['33'],['100'],1.0,Helsinki,['2010'],['3'],['4'],1459,Male
95,https://www.couchsurfing.com/people/rositatiainen,['22'],['100'],1.0,Finland,['2013'],['4'],['7'],2353,Female
96,https://www.couchsurfing.com/people/unaiko,['28'],['100'],1.0,Country,['2011'],['23'],['35'],2628,Male
97,https://www.couchsurfing.com/people/soufiana,['36'],['100'],1.0,kankan,['2007'],['2'],['2'],1044,Male
98,https://www.couchsurfing.com/people/henssa,['25'],['100'],1.0,Finland,['2010'],['5'],['6'],1008,Male
99,https://www.couchsurfing.com/people/acuario,['40'],['80'],1.0,listed,['2005'],flag,['12'],804,Male
100,https://www.couchsurfing.com/people/metin.kaplan,['31'],['100'],1.0,TURKEY,['2014'],['1'],['2'],1275,Male
101,https://www.couchsurfing.com/people/artokaltiainen,['52'],['95'],1.0,listed,['2013'],['2'],['2'],527,Male
102,https://www.couchsurfing.com/people/maria-christin-luther,['34'],['100'],1.0,Germany,['2015'],flag,['4'],2350,Female
103,https://www.couchsurfing.com/people/twoberqq,['26'],['100'],1.0,Turkey,['2010'],['15'],['21'],1516,Male
104,https://www.couchsurfing.com/people/tommit7,['35'],['100'],1.0,listed,['2008'],['15'],['16'],740,Male
105,https://www.couchsurfing.com/people/riikkalep,['25'],['100'],1.0,Finland.,['2010'],['12'],['20'],1763,Female
106,https://www.couchsurfing.com/people/peimonbadiee,['33'],['75'],1.0,listed,['2013'],flag,['3'],268,Male
107,https://www.couchsurfing.com/people/ainamandarina,['23'],['90'],1.0,Spain,['2013'],['1'],['1'],2113,Female
108,https://www.couchsurfing.com/people/sol-mar91,['25'],['100'],1.0,listed,['2012'],['7'],['8'],763,Male
109,https://www.couchsurfing.com/people/sumit1319,['31'],['100'],1.0,India,['2012'],['3'],['6'],817,Male
110,https://www.couchsurfing.com/people/rodolfo.rubio,['23'],['100'],1.0,Salvador,['2014'],['6'],['9'],3193,Male
111,https://www.couchsurfing.com/people/wondrous,['33'],['95'],1.0,listed,['2006'],['5'],['10'],1587,Male
112,https://www.couchsurfing.com/people/osklu,['29'],['100'],1.0,away,['2010'],flag,['15'],1298,Male
113,https://www.couchsurfing.com/people/nappari,['30'],['100'],1.0,Finland,['2011'],['7'],['16'],3075,Male
114,https://www.couchsurfing.com/people/compolli,['33'],['100'],1.0,Finland.,['2011'],flag,['17'],2721,Male
115,https://www.couchsurfing.com/users/1003392772,['29'],['100'],1.0,listed,['2013'],['1'],['2'],1335,Male
116,https://www.couchsurfing.com/people/faol,['36'],['100'],1.0,Finland,['2007'],flag,['53'],2417,Male
117,https://www.couchsurfing.com/people/jgj,['33'],['100'],1.0,East-Finland,['2007'],['6'],['15'],2194,Male
118,https://www.couchsurfing.com/people/acar81,['35'],['85'],1.0,listed,['2009'],['2'],['3'],663,Male
119,https://www.couchsurfing.com/people/mohikaani,['32'],['100'],1.0,Jyväskylä,['2009'],['9'],['15'],1732,Male
120,https://www.couchsurfing.com/people/ohjami,['24'],['100'],1.0,Finland,['2011'],['2'],['2'],1961,Male
121,https://www.couchsurfing.com/people/maiiu,['37'],['100'],1.0,listed,['2009'],['16'],['19'],2183,Other
122,https://www.couchsurfing.com/people/zillakot,['29'],['100'],1.0,Finland,['2009'],['2'],['2'],313,Male
123,https://www.couchsurfing.com/people/hippoliini,['34'],['100'],1.0,Finland,['2008'],['5'],['8'],1366,Female
124,https://www.couchsurfing.com/people/bishre,['31'],['95'],1.0,Finland,['2011'],['4'],['9'],1426,Male
125,https://www.couchsurfing.com/people/ekiekille,['46'],['90'],1.0,Finland,['2013'],['4'],['4'],477,Male
126,https://www.couchsurfing.com/people/sandeepkalyan,['26'],['100'],1.0,India,['2013'],['10'],['17'],2206,Male
127,https://www.couchsurfing.com/people/juhaseppa,['29'],['95'],1.0,Finland,['2008'],['3'],['3'],779,Male
128,https://www.couchsurfing.com/people/rasmus.paltschik,['31'],['85'],1.0,Finland,['2012'],flag,['3'],4636,Male
129,https://www.couchsurfing.com/people/marko_81,['35'],['60'],1.0,Finland,['2014'],flag,['1'],498,Male
130,https://www.couchsurfing.com/people/iinargh,['26'],['100'],1.0,Finland,['2009'],['4'],['8'],3034,Female
131,https://www.couchsurfing.com/people/silver_armadillo,['25'],['100'],1.0,listed,['2012'],['5'],['15'],1592,Female
132,https://www.couchsurfing.com/people/jarkotaivasmaa,['41'],['100'],1.0,listed,['2014'],flag,['1'],687,Male
133,https://www.couchsurfing.com/people/sundayudofia.isaiah,['31'],['65'],1.0,listed,['2012'],['4'],['6'],1079,Male
134,https://www.couchsurfing.com/people/mikkomar,['30'],['95'],1.0,Helsinki,['2012'],flag,['10'],1157,Male
135,https://www.couchsurfing.com/people/brekharras,['33'],['95'],1.0,helsinki,['2014'],['5'],['5'],942,Male
136,https://www.couchsurfing.com/people/libu,['30'],['100'],1.0,Helsinki,['2006'],['16'],['21'],1302,Female
137,https://www.couchsurfing.com/people/teroforsberg,['31'],['100'],1.0,Helsinki,['2014'],flag,['3'],681,Male
138,https://www.couchsurfing.com/people/henkkalt,['26'],['100'],1.0,Helsinki,['2010'],['3'],['4'],2391,Male
139,https://www.couchsurfing.com/people/nmalin,['26'],['100'],1.0,Finland,['2012'],['2'],['2'],3295,Female
140,https://www.couchsurfing.com/people/pedvetteri,['28'],['100'],1.0,Finland,['2007'],['1'],['2'],965,Male
141,https://www.couchsurfing.com/people/send-in-the-trumpets,['34'],['100'],1.0,listed,['2008'],['4'],['4'],795,Female
142,https://www.couchsurfing.com/people/horoshij,['30'],['100'],1.0,Estonia,['2008'],['2'],['3'],1563,Male
143,https://www.couchsurfing.com/people/raab,['33'],['100'],1.0,Finland,['2010'],flag,['5'],520,Male
144,https://www.couchsurfing.com/people/irjamaria,['21'],['100'],1.0,Finland,['2011'],['5'],['6'],1814,Female
145,https://www.couchsurfing.com/people/hector.ortega,['33'],['100'],1.0,Mexico,['2012'],['3'],['4'],964,Male
146,https://www.couchsurfing.com/people/kevintruong123,['25'],['100'],1.0,listed,['2012'],['2'],['3'],783,Male
147,https://www.couchsurfing.com/people/eliise,['34'],['100'],1.0,Finland,['2006'],flag,['62'],4730,Female
148,https://www.couchsurfing.com/people/taija.saarinen,['42'],['100'],1.0,Lappland,['2012'],['7'],['7'],2243,Female
149,https://www.couchsurfing.com/people/tracyle,['29'],['100'],1.0,Vietnam,['2010'],['2'],['2'],1877,Female
150,https://www.couchsurfing.com/people/pema.gyatso,['36'],['100'],1.0,China,['2012'],['1'],['5'],1562,Male
151,https://www.couchsurfing.com/people/tomusormi,['23'],['100'],1.0,Finland,['2012'],['15'],['20'],3341,Female
152,https://www.couchsurfing.com/people/chi-ta-1,['21'],['100'],1.0,Vietnam,['2015'],['3'],['6'],2051,Female
153,https://www.couchsurfing.com/people/jussi-forss,['26'],['75'],1.0,listed,['2016'],flag,['1'],flag,Male
154,https://www.couchsurfing.com/people/jussiriku,['53'],['100'],1.0,Finland,['2014'],flag,['11'],957,Male
155,https://www.couchsurfing.com/people/pythogorianne,['32'],['100'],1.0,GALACTIC,['2009'],['29'],['50'],5414,Female
156,https://www.couchsurfing.com/people/vi4,['36'],['100'],1.0,India,['2010'],['7'],['10'],3052,Male
157,https://www.couchsurfing.com/people/annaelinavee,['31'],['100'],1.0,Finland,['2008'],['2'],['7'],2884,Female
158,https://www.couchsurfing.com/people/elsa.varja,['33'],['100'],1.0,listed,['2012'],['9'],['11'],3420,Female
159,https://www.couchsurfing.com/people/krisstc,['55'],['100'],1.0,Finland,['2007'],['4'],['6'],2592,Female
160,https://www.couchsurfing.com/people/tati.hoikkala,['23'],['100'],1.0,Federation,['2012'],['3'],['3'],3336,Female
161,https://www.couchsurfing.com/people/juhhei,['38'],['100'],1.0,listed,['2011'],flag,['20'],2145,Male
162,https://www.couchsurfing.com/people/sara.fahmy,['28'],['100'],1.0,Helsinki,['2012'],['2'],['4'],2210,Female
163,https://www.couchsurfing.com/people/bunnyp,['31'],['100'],1.0,helisinsky,['2007'],['18'],['32'],3632,Female
164,https://www.couchsurfing.com/people/zackabeel,['32'],['100'],1.0,listed,['2013'],['2'],['2'],1585,Male
165,https://www.couchsurfing.com/people/sariannapatrik,['28'],['100'],1.0,Helsinki,['2008'],['4'],['5'],1607,Female
166,https://www.couchsurfing.com/people/janne81,['35'],['95'],1.0,listed,['2010'],flag,['27'],1349,Male
167,https://www.couchsurfing.com/people/karitainen,['30'],['100'],1.0,Helsinki,['2010'],['4'],['6'],1409,Female
168,https://www.couchsurfing.com/users/1281078,['29'],['100'],1.0,Finland,['2009'],['3'],['3'],1653,Female
169,https://www.couchsurfing.com/people/boleslaw,['34'],['100'],1.0,Poland,['2009'],['4'],['7'],7404,Other
170,https://www.couchsurfing.com/people/mohammed.issa,['46'],['100'],1.0,Aleppo,['2012'],['5'],['5'],601,Male
171,https://www.couchsurfing.com/people/mylifeamess,['31'],['95'],1.0,Smorgon,['2008'],['6'],['12'],1452,Female
172,https://www.couchsurfing.com/people/honeymaker,['38'],['100'],1.0,Philippines,['2008'],['1'],['5'],1408,Male
173,https://www.couchsurfing.com/people/lindasroom,['30'],['100'],1.0,Helsinki,['2009'],['5'],['8'],2047,Female
174,https://www.couchsurfing.com/people/uskomatonhenry,['29'],['90'],1.0,Seoul/Turku,['2006'],['54'],['57'],3295,Other
175,https://www.couchsurfing.com/people/nli,['42'],['100'],1.0,listed,['2011'],flag,['35'],852,Male
176,https://www.couchsurfing.com/users/1135666,['28'],['95'],1.0,Finland,['2009'],['18'],['21'],2192,Female
177,https://www.couchsurfing.com/people/milves,['31'],['100'],1.0,Tampere,['2011'],['11'],['17'],3151,Other
178,https://www.couchsurfing.com/people/rg26,['34'],['85'],1.0,Helsinki,['2010'],['3'],['3'],980,Male
179,https://www.couchsurfing.com/people/carnivale,['30'],['100'],1.0,Outokumpu,['2007'],['1'],['2'],727,Male
180,https://www.couchsurfing.com/people/ville-ojanen,['43'],['100'],1.0,listed,['2015'],['1'],['2'],1250,Male
181,https://www.couchsurfing.com/people/tapio.pihonen,['33'],['100'],1.0,Helsinki,['2012'],flag,['10'],2135,Male
182,https://www.couchsurfing.com/people/chico78,['38'],['100'],1.0,Finland,['2012'],['1'],['2'],732,Male
183,https://www.couchsurfing.com/people/luisferleon,['34'],['100'],1.0,Colombia,['2007'],['3'],['5'],1677,Male
184,https://www.couchsurfing.com/people/jibba,['35'],['100'],1.0,listed,['2011'],flag,['30'],3614,Male
185,https://www.couchsurfing.com/people/billyfinland,['36'],['95'],1.0,中国,['2006'],['4'],['6'],2034,Male
186,https://www.couchsurfing.com/people/keisari_p,['33'],['95'],1.0,Finland,['2009'],['5'],['10'],1772,Male
187,https://www.couchsurfing.com/people/elkal,['25'],['95'],1.0,Finland,['2010'],flag,['10'],1257,Female
188,https://www.couchsurfing.com/people/armas_pas,['32'],['95'],1.0,Oulu.,['2009'],['6'],['9'],917,Male
189,https://www.couchsurfing.com/people/opau,['57'],['100'],1.0,Forssa,['2011'],flag,['16'],998,Male
